Number of nodes,Number of edges,Edge probability,Algorithm,Results,Number of basic operations,Execution time,Number of solutions tested
16,98,0.75,Exhaustive Search,"[[6, 8, 9, 10, 12, 13, 14], [6, 7, 8, 9, 10, 12, 13], [3, 8, 9, 10, 12, 13, 14], [3, 7, 8, 9, 10, 12, 13], [1, 3, 8, 10, 12, 13, 14], [1, 3, 8, 10, 11, 13, 14], [1, 3, 7, 8, 10, 12, 13], [1, 3, 7, 8, 10, 11, 13], [1, 2, 3, 10, 11, 13, 14], [1, 2, 3, 7, 10, 11, 13], [0, 6, 8, 9, 10, 12, 14], [0, 6, 7, 8, 9, 10, 12], [0, 3, 8, 9, 10, 12, 14], [0, 3, 7, 8, 9, 10, 12], [0, 2, 4, 5, 6, 9, 14], [0, 2, 4, 5, 6, 7, 9], [0, 2, 3, 4, 5, 9, 14], [0, 2, 3, 4, 5, 7, 9], [0, 1, 3, 8, 10, 12, 14], [0, 1, 3, 8, 10, 11, 14], [0, 1, 3, 7, 8, 10, 12], [0, 1, 3, 7, 8, 10, 11], [0, 1, 3, 5, 8, 11, 14], [0, 1, 3, 5, 7, 8, 11], [0, 1, 2, 3, 10, 11, 14], [0, 1, 2, 3, 7, 10, 11], [0, 1, 2, 3, 5, 11, 14], [0, 1, 2, 3, 5, 7, 11], [0, 1, 2, 3, 4, 5, 14], [0, 1, 2, 3, 4, 5, 7]]",381150,1.9188463687896729,50665
16,98,0.75,Maximal Clique - Simple Greedy,"[1, 2, 3, 4, 7, 13]",35,7.462501525878906e-05,16
16,98,0.75,Maximum Clique - Branch Bound Greedy,"[6, 8, 9, 10, 12, 13, 14]",Not used,0.02315354347229004,286
17,33,0.125,Exhaustive Search,"[[4, 7, 15, 16]]",153061,2.491516590118408,130297
17,33,0.125,Maximal Clique - Simple Greedy,"[4, 7, 15, 16]",8,0.0001251697540283203,17
17,33,0.125,Maximum Clique - Branch Bound Greedy,"[4, 7, 15, 16]",Not used,0.0001251697540283203,287
17,46,0.25,Exhaustive Search,"[[10, 12, 15, 16], [1, 2, 7, 15]]",237542,2.706372022628784,130243
17,46,0.25,Maximal Clique - Simple Greedy,"[4, 9, 10]",9,9.226799011230469e-05,17
17,46,0.25,Maximum Clique - Branch Bound Greedy,"[1, 2, 7, 15]",Not used,0.0015337467193603516,298
17,81,0.5,Exhaustive Search,"[[6, 8, 10, 12, 14, 15], [0, 6, 8, 14, 15, 16]]",284843,2.6261017322540283,121748
17,81,0.5,Maximal Clique - Simple Greedy,"[0, 2, 4, 6, 14]",18,7.200241088867188e-05,17
17,81,0.5,Maximum Clique - Branch Bound Greedy,"[0, 6, 8, 14, 15, 16]",Not used,0.03241133689880371,337
17,105,0.75,Exhaustive Search,"[[0, 3, 4, 6, 8, 13, 14, 16]]",499438,2.6717727184295654,92624
17,105,0.75,Maximal Clique - Simple Greedy,"[0, 1, 3, 4, 7, 13]",31,9.083747863769531e-05,17
17,105,0.75,Maximum Clique - Branch Bound Greedy,"[0, 3, 4, 6, 8, 13, 14, 16]",Not used,0.01699995994567871,410
18,34,0.125,Exhaustive Search,"[[9, 16, 17], [9, 15, 17], [9, 14, 16], [6, 10, 12], [4, 10, 14], [2, 14, 16], [2, 13, 16], [0, 1, 4]]",358493,5.437477350234985,261973
18,34,0.125,Maximal Clique - Simple Greedy,"[5, 11]",2,7.43865966796875e-05,18
18,34,0.125,Maximum Clique - Branch Bound Greedy,"[9, 15, 17]",Not used,0.0019216537475585938,417
18,56,0.25,Exhaustive Search,"[[11, 13, 16, 17], [5, 13, 16, 17], [5, 10, 13, 17], [4, 5, 10, 12], [2, 4, 5, 12], [1, 9, 16, 17], [1, 9, 15, 17]]",352116,5.252954721450806,261161
18,56,0.25,Maximal Clique - Simple Greedy,"[2, 7]",2,6.699562072753906e-05,18
18,56,0.25,Maximum Clique - Branch Bound Greedy,"[5, 10, 13, 17]",Not used,0.0009047985076904297,422
18,88,0.5,Exhaustive Search,"[[7, 10, 12, 13, 14, 17], [5, 10, 12, 14, 16, 17], [5, 7, 10, 12, 14, 17], [5, 7, 9, 10, 12, 17], [2, 5, 10, 12, 16, 17], [2, 5, 9, 10, 12, 17]]",769542,6.235077619552612,249530
18,88,0.5,Maximal Clique - Simple Greedy,"[5, 10, 11, 12]",8,6.389617919921875e-05,18
18,88,0.5,Maximum Clique - Branch Bound Greedy,"[7, 10, 12, 13, 14, 17]",Not used,0.01127934455871582,491
18,132,0.75,Exhaustive Search,"[[0, 1, 2, 3, 4, 6, 8, 12, 13, 16, 17], [0, 1, 2, 3, 4, 6, 8, 10, 12, 16, 17], [0, 1, 2, 3, 4, 6, 8, 9, 12, 13, 16], [0, 1, 2, 3, 4, 6, 8, 9, 10, 12, 16]]",704817,3.007258653640747,81334
18,132,0.75,Maximal Clique - Simple Greedy,"[0, 1, 2, 3, 4, 6, 8, 9, 10, 12, 16]",79,0.00011515617370605469,18
18,132,0.75,Maximum Clique - Branch Bound Greedy,"[0, 1, 2, 3, 4, 6, 8, 12, 13, 16, 17]",Not used,0.0002300739288330078,492
19,35,0.125,Exhaustive Search,"[[7, 9, 14, 16], [0, 6, 11, 17]]",569438,10.168776035308838,523141
19,35,0.125,Maximal Clique - Simple Greedy,"[6, 8]",3,0.00010418891906738281,19
19,35,0.125,Maximum Clique - Branch Bound Greedy,"[0, 6, 11, 17]",Not used,0.0005128383636474609,495
19,54,0.25,Exhaustive Search,"[[13, 14, 17, 18], [4, 10, 11, 13], [0, 14, 16, 17]]",939499,10.790017366409302,523130
19,54,0.25,Maximal Clique - Simple Greedy,"[2, 5, 18]",13,8.296966552734375e-05,19
19,54,0.25,Maximum Clique - Branch Bound Greedy,"[0, 14, 16, 17]",Not used,0.0013513565063476562,498
19,102,0.5,Exhaustive Search,"[[2, 8, 11, 12, 13, 14, 17]]",1130390,10.559287548065186,480735
19,102,0.5,Maximal Clique - Simple Greedy,"[1, 2, 6, 8, 17]",17,6.961822509765625e-05,19
19,102,0.5,Maximum Clique - Branch Bound Greedy,"[2, 8, 11, 12, 13, 14, 17]",Not used,0.0002830028533935547,499
19,123,0.75,Exhaustive Search,"[[0, 5, 6, 7, 8, 15, 16, 17]]",871207,9.35447883605957,431362
19,123,0.75,Maximal Clique - Simple Greedy,"[0, 4, 5, 6, 7, 8]",41,6.651878356933594e-05,19
19,123,0.75,Maximum Clique - Branch Bound Greedy,"[0, 5, 6, 7, 8, 15, 16, 17]",Not used,0.037705421447753906,552
20,34,0.125,Exhaustive Search,"[[11, 16, 19], [11, 15, 16], [11, 13, 16], [10, 11, 19], [8, 10, 19], [4, 8, 10], [4, 5, 8], [3, 4, 8], [0, 5, 8]]",1181011,21.43803334236145,1048366
20,34,0.125,Maximal Clique - Simple Greedy,"[12, 14]",3,7.557868957519531e-05,20
20,34,0.125,Maximum Clique - Branch Bound Greedy,"[8, 10, 19]",Not used,0.0001404285430908203,553
20,66,0.25,Exhaustive Search,"[[15, 17, 18, 19], [15, 16, 18, 19], [14, 15, 17, 18], [12, 15, 17, 19], [7, 11, 12, 19], [6, 9, 16, 19], [2, 15, 16, 19], [2, 13, 14, 15], [2, 12, 15, 19], [2, 12, 13, 15], [2, 10, 14, 15], [2, 7, 12, 19], [0, 7, 11, 19]]",1234177,21.366062879562378,1047226
20,66,0.25,Maximal Clique - Simple Greedy,"[8, 14, 18]",8,8.511543273925781e-05,20
20,66,0.25,Maximum Clique - Branch Bound Greedy,"[2, 10, 14, 15]",Not used,0.0026388168334960938,562
20,101,0.5,Exhaustive Search,"[[1, 7, 10, 14, 16, 17], [1, 4, 7, 14, 16, 17], [1, 4, 7, 13, 14, 17], [1, 4, 6, 7, 13, 14], [0, 7, 10, 17, 18, 19], [0, 7, 10, 15, 17, 18], [0, 7, 8, 10, 15, 17], [0, 3, 10, 15, 17, 18], [0, 3, 8, 10, 15, 17]]",1499556,21.586586475372314,1027053
20,101,0.5,Maximal Clique - Simple Greedy,"[0, 3, 8, 10, 15, 17]",22,8.106231689453125e-05,20
20,101,0.5,Maximum Clique - Branch Bound Greedy,"[1, 4, 6, 7, 13, 14]",Not used,0.003846883773803711,581
20,155,0.75,Exhaustive Search,"[[2, 3, 4, 7, 10, 11, 12, 18, 19], [2, 3, 4, 6, 7, 11, 12, 18, 19], [0, 3, 4, 7, 9, 14, 15, 16, 18], [0, 3, 4, 7, 9, 10, 14, 15, 18], [0, 3, 4, 6, 7, 9, 14, 15, 18], [0, 2, 3, 4, 7, 14, 15, 16, 18], [0, 2, 3, 4, 7, 10, 14, 15, 18], [0, 2, 3, 4, 6, 7, 14, 15, 18]]",5000221,24.738178730010986,805087
20,155,0.75,Maximal Clique - Simple Greedy,"[0, 2, 3, 4, 5, 6, 8, 14]",61,9.1552734375e-05,20
20,155,0.75,Maximum Clique - Branch Bound Greedy,"[2, 3, 4, 6, 7, 11, 12, 18, 19]",Not used,0.00022602081298828125,582
21,51,0.125,Exhaustive Search,"[[3, 9, 10, 17]]",2229126,42.253560304641724,2095601
21,51,0.125,Maximal Clique - Simple Greedy,"[0, 5]",5,6.151199340820312e-05,21
21,51,0.125,Maximum Clique - Branch Bound Greedy,"[3, 9, 10, 17]",Not used,0.0005590915679931641,585
21,64,0.25,Exhaustive Search,"[[0, 6, 12, 16, 19]]",2546835,45.643728494644165,2090670
21,64,0.25,Maximal Clique - Simple Greedy,"[4, 9, 19]",4,7.557868957519531e-05,21
21,64,0.25,Maximum Clique - Branch Bound Greedy,"[0, 6, 12, 16, 19]",Not used,0.001435995101928711,590
21,116,0.5,Exhaustive Search,"[[3, 4, 7, 10, 17, 19], [3, 4, 6, 7, 17, 19], [3, 4, 6, 7, 14, 19], [2, 3, 7, 10, 17, 19], [2, 3, 6, 7, 17, 19]]",4353450,51.59918665885925,2071689
21,116,0.5,Maximal Clique - Simple Greedy,"[0, 1, 8, 11, 15]",20,0.00010132789611816406,21
21,116,0.5,Maximum Clique - Branch Bound Greedy,"[3, 4, 6, 7, 17, 19]",Not used,0.0027158260345458984,597
21,158,0.75,Exhaustive Search,"[[0, 1, 3, 4, 7, 11, 13, 18, 19, 20], [0, 1, 3, 4, 7, 11, 13, 14, 18, 20], [0, 1, 2, 3, 4, 7, 11, 14, 18, 20]]",6276895,48.69092679023743,1529527
21,158,0.75,Maximal Clique - Simple Greedy,"[0, 1, 2, 3, 4, 7, 11, 14, 18, 20]",60,9.202957153320312e-05,21
21,158,0.75,Maximum Clique - Branch Bound Greedy,"[0, 1, 2, 3, 4, 7, 11, 14, 18, 20]",Not used,0.00018858909606933594,598
22,46,0.125,Exhaustive Search,"[[18, 20, 21], [18, 19, 20], [8, 18, 20], [7, 8, 18], [5, 17, 21], [5, 14, 21], [5, 11, 14], [3, 8, 18], [3, 8, 13]]",5498285,148.00607872009277,4194051
22,46,0.125,Maximal Clique - Simple Greedy,"[3, 8, 13]",8,9.417533874511719e-05,22
22,46,0.125,Maximum Clique - Branch Bound Greedy,"[18, 20, 21]",Not used,0.000152587890625,599
22,80,0.25,Exhaustive Search,"[[11, 15, 17, 19], [10, 14, 17, 21], [10, 14, 15, 17], [10, 11, 15, 17], [5, 17, 18, 19], [1, 3, 6, 14], [0, 3, 12, 20], [0, 1, 3, 11]]",6429811,107.01831793785095,4192520
22,80,0.25,Maximal Clique - Simple Greedy,"[3, 10, 11]",11,6.580352783203125e-05,22
22,80,0.25,Maximum Clique - Branch Bound Greedy,"[1, 3, 6, 14]",Not used,0.0014128684997558594,606
22,117,0.5,Exhaustive Search,"[[1, 6, 15, 16, 18, 20], [1, 2, 15, 16, 18, 20]]",7633787,97.32106137275696,4161894
22,117,0.5,Maximal Clique - Simple Greedy,"[0, 1, 6, 10, 16]",19,8.58306884765625e-05,22
22,117,0.5,Maximum Clique - Branch Bound Greedy,"[1, 6, 15, 16, 18, 20]",Not used,0.002469301223754883,615
22,178,0.75,Exhaustive Search,"[[2, 4, 7, 15, 16, 17, 18, 19, 20], [2, 4, 7, 13, 15, 16, 17, 18, 19], [2, 4, 7, 10, 15, 16, 17, 18, 20], [2, 4, 7, 10, 13, 15, 16, 17, 18], [2, 3, 7, 15, 16, 17, 18, 19, 20], [2, 3, 7, 13, 15, 16, 17, 18, 19], [2, 3, 7, 10, 15, 16, 17, 18, 20], [2, 3, 7, 10, 13, 15, 16, 17, 18], [1, 2, 3, 7, 15, 16, 17, 18, 20], [0, 3, 15, 16, 17, 18, 19, 20, 21], [0, 3, 13, 15, 16, 17, 18, 19, 21], [0, 3, 10, 15, 16, 17, 18, 20, 21], [0, 3, 10, 13, 15, 16, 17, 18, 21], [0, 3, 7, 15, 16, 17, 18, 19, 20], [0, 3, 7, 13, 15, 16, 17, 18, 19], [0, 3, 7, 10, 15, 16, 17, 18, 20], [0, 3, 7, 10, 13, 15, 16, 17, 18], [0, 3, 5, 16, 17, 18, 19, 20, 21], [0, 3, 5, 13, 16, 17, 18, 19, 21], [0, 3, 5, 7, 16, 17, 18, 19, 20], [0, 3, 5, 7, 13, 16, 17, 18, 19], [0, 1, 3, 15, 16, 17, 18, 20, 21], [0, 1, 3, 7, 15, 16, 17, 18, 20], [0, 1, 3, 5, 16, 17, 18, 20, 21], [0, 1, 3, 5, 7, 16, 17, 18, 20]]",10306274,101.60860347747803,3618245
22,178,0.75,Maximal Clique - Simple Greedy,"[0, 5, 8, 13, 17, 18, 21]",35,8.153915405273438e-05,22
22,178,0.75,Maximum Clique - Branch Bound Greedy,"[0, 3, 5, 7, 13, 16, 17, 18, 19]",Not used,0.03790783882141113,724
23,58,0.125,Exhaustive Search,"[[6, 17, 18, 22]]",10935813,202.99935030937195,8386561
23,58,0.125,Maximal Clique - Simple Greedy,"[2, 15]",3,0.00027251243591308594,23
23,58,0.125,Maximum Clique - Branch Bound Greedy,"[6, 17, 18, 22]",Not used,0.0027697086334228516,735
23,82,0.25,Exhaustive Search,"[[12, 17, 19, 22], [12, 17, 18, 19], [12, 15, 17, 18], [9, 12, 18, 19], [5, 8, 14, 22], [1, 4, 6, 15]]",12383340,201.94346618652344,8386574
23,82,0.25,Maximal Clique - Simple Greedy,"[2, 3]",5,7.104873657226562e-05,23
23,82,0.25,Maximum Clique - Branch Bound Greedy,"[12, 17, 19, 22]",Not used,0.0006923675537109375,738
23,133,0.5,Exhaustive Search,"[[3, 5, 7, 10, 18, 19], [1, 3, 7, 10, 18, 19], [0, 10, 11, 14, 16, 18], [0, 5, 10, 11, 14, 18], [0, 3, 5, 10, 11, 18], [0, 3, 5, 7, 10, 18], [0, 1, 3, 7, 10, 18], [0, 1, 2, 3, 7, 18]]",23347049,218.13116121292114,8344249
23,133,0.5,Maximal Clique - Simple Greedy,"[3, 5, 11, 20]",19,0.00010585784912109375,23
23,133,0.5,Maximum Clique - Branch Bound Greedy,"[3, 5, 7, 10, 18, 19]",Not used,0.012547969818115234,803
23,191,0.75,Exhaustive Search,"[[5, 6, 7, 8, 9, 10, 17, 19, 21], [3, 5, 7, 9, 10, 11, 12, 14, 17], [3, 5, 6, 7, 9, 10, 11, 12, 17], [1, 3, 5, 10, 11, 12, 14, 15, 22], [1, 3, 5, 10, 11, 12, 14, 15, 17]]",22477214,214.51874089241028,7531743
23,191,0.75,Maximal Clique - Simple Greedy,"[0, 2, 3, 4, 14, 16, 18]",41,9.036064147949219e-05,23
23,191,0.75,Maximum Clique - Branch Bound Greedy,"[5, 6, 7, 8, 9, 10, 17, 19, 21]",Not used,0.001224517822265625,806
24,47,0.125,Exhaustive Search,"[[14, 21, 22], [8, 14, 21], [1, 8, 17], [0, 4, 18]]",18251167,413.22895216941833,16776916
24,47,0.125,Maximal Clique - Simple Greedy,"[8, 14, 21]",5,8.249282836914062e-05,24
24,47,0.125,Maximum Clique - Branch Bound Greedy,"[8, 14, 21]",Not used,0.002971172332763672,823
24,87,0.25,Exhaustive Search,"[[9, 13, 14, 21], [3, 18, 19, 21], [3, 13, 18, 21], [3, 13, 18, 20], [3, 7, 18, 19], [3, 7, 13, 18], [3, 7, 12, 13], [3, 5, 12, 13], [3, 4, 7, 19], [2, 9, 13, 21], [2, 7, 9, 13], [1, 3, 19, 21], [1, 3, 7, 19], [1, 3, 7, 12], [1, 3, 6, 19]]",23025724,411.1109461784363,16774892
24,87,0.25,Maximal Clique - Simple Greedy,"[0, 14, 21]",6,0.00011301040649414062,24
24,87,0.25,Maximum Clique - Branch Bound Greedy,"[1, 3, 7, 19]",Not used,0.00600743293762207,840
24,141,0.5,Exhaustive Search,"[[5, 6, 9, 15, 18, 20], [5, 6, 8, 15, 18, 20], [5, 6, 8, 15, 16, 18], [1, 2, 7, 10, 15, 19]]",32955368,424.41573882102966,16723849
24,141,0.5,Maximal Clique - Simple Greedy,"[0, 7, 18, 21, 22]",23,8.630752563476562e-05,24
24,141,0.5,Maximum Clique - Branch Bound Greedy,"[1, 2, 7, 10, 15, 19]",Not used,0.010487556457519531,881
24,218,0.75,Exhaustive Search,"[[0, 2, 9, 10, 12, 13, 15, 18, 20, 22], [0, 2, 6, 9, 10, 12, 13, 15, 20, 22], [0, 1, 2, 9, 10, 12, 15, 18, 20, 22], [0, 1, 2, 6, 9, 10, 12, 15, 20, 22]]",58961664,443.64880871772766,14326722
24,218,0.75,Maximal Clique - Simple Greedy,"[0, 1, 2, 3, 9, 15, 18, 20, 22]",57,9.083747863769531e-05,24
24,218,0.75,Maximum Clique - Branch Bound Greedy,"[0, 2, 6, 9, 10, 12, 13, 15, 20, 22]",Not used,0.030583620071411133,886
25,55,0.125,Exhaustive Search,"[[15, 20, 23], [13, 16, 17], [13, 14, 17], [10, 12, 18], [8, 9, 10], [6, 22, 23], [5, 14, 17], [4, 6, 16], [3, 18, 22], [3, 18, 21], [3, 12, 18], [2, 3, 21], [1, 23, 24], [0, 8, 9]]",36621066,794.4890294075012,33554107
25,55,0.125,Maximal Clique - Simple Greedy,"[11, 12]",2,0.00014328956604003906,25
25,55,0.125,Maximum Clique - Branch Bound Greedy,"[0, 8, 9]",Not used,0.0043184757232666016,895
25,97,0.25,Exhaustive Search,"[[9, 17, 18, 19], [4, 21, 22, 23], [4, 5, 21, 23], [2, 5, 23, 24], [1, 3, 8, 15], [0, 18, 21, 22], [0, 18, 20, 22], [0, 14, 18, 21], [0, 14, 17, 18], [0, 9, 17, 18], [0, 4, 21, 22], [0, 4, 14, 21], [0, 4, 9, 16]]",49138241,807.0832505226135,33551807
25,97,0.25,Maximal Clique - Simple Greedy,"[0, 9, 17, 18]",12,9.441375732421875e-05,25
25,97,0.25,Maximum Clique - Branch Bound Greedy,"[1, 3, 8, 15]",Not used,0.005292415618896484,908
25,170,0.5,Exhaustive Search,"[[3, 10, 12, 14, 18, 20, 24], [0, 9, 10, 12, 14, 20, 24], [0, 3, 10, 12, 14, 20, 24]]",83092502,856.2033979892731,33312939
25,170,0.5,Maximal Clique - Simple Greedy,"[0, 3, 10, 12, 14, 20, 24]",37,8.249282836914062e-05,25
25,170,0.5,Maximum Clique - Branch Bound Greedy,"[0, 3, 10, 12, 14, 20, 24]",Not used,0.05315041542053223,1023
25,220,0.75,Exhaustive Search,"[[4, 5, 6, 8, 14, 15, 17, 18, 20, 22], [4, 5, 6, 8, 12, 14, 15, 17, 20, 22], [2, 4, 5, 6, 8, 14, 15, 17, 20, 22]]",102014521,859.789413690567,29809183
25,220,0.75,Maximal Clique - Simple Greedy,"[1, 2, 4, 6, 14, 15, 20, 22]",45,0.00011539459228515625,25
25,220,0.75,Maximum Clique - Branch Bound Greedy,"[2, 4, 5, 6, 8, 14, 15, 17, 20, 22]",Not used,0.046920061111450195,1226
